artist,title,startTime
YOUNG BLOOD,NAKED AND FAMOUS,09 Sep 2022 14:03:10
POWFU,COFFEE FOR YOUR HEAD,09 Sep 2022 14:07:03
ATARIS,THE BOYS OF SUMMER,09 Sep 2022 14:09:46
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 14:14:03
MILKY CHANCE,DON'T LET ME DOWN,09 Sep 2022 14:16:54
CANNONS,FIRE FOR YOU,09 Sep 2022 14:20:12
CAKE,THE DISTANCE,09 Sep 2022 14:24:01
ABSOFACTO,DISSOLVE,09 Sep 2022 14:31:45
IMAGINE DRAGONS,ENEMY,09 Sep 2022 14:35:34
KILLERS,WHEN YOU WERE YOUNG,09 Sep 2022 14:38:23
WEEZER,ALL MY FAVORITE SONGS,09 Sep 2022 14:41:59
M83,MIDNIGHT CITY,09 Sep 2022 14:44:55
DEATH CAB FOR CUTIE,HERE TO FOREVER,09 Sep 2022 14:48:44
JIMMY EAT WORLD,SWEETNESS,09 Sep 2022 14:56:30
YEAH YEAH YEAHS,MAPS,09 Sep 2022 15:00:02
AWOLNATION,SAIL,09 Sep 2022 15:03:44
MANESKIN,BEGGIN,09 Sep 2022 15:07:40
SUM 41,FAT LIP,09 Sep 2022 15:11:08
KATE BUSH,RUNNING UP THAT HILL,09 Sep 2022 15:14:11
BRAVERY,BELIEVE,09 Sep 2022 15:19:14
FOO FIGHTERS,LOVE DIES YOUNG,09 Sep 2022 15:22:56
MARCY PLAYGROUND,SEX AND CANDY,09 Sep 2022 15:27:15
KONGOS,COME WITH ME NOW,09 Sep 2022 15:33:59
TAME IMPALA,THE LESS I KNOW THE BETTER,09 Sep 2022 15:37:38
PARAMORE,MISERY BUSINESS,09 Sep 2022 15:41:18
BOB MOSES,LOVE BRAND NEW,09 Sep 2022 15:44:34
NEIGHBOURHOOD,SWEATER WEATHER,09 Sep 2022 15:47:53
IMAGINE DRAGONS,BONES,09 Sep 2022 15:51:44
GORILLAZ,FEEL GOOD INC,09 Sep 2022 15:59:34
LINKIN PARK,WHAT I'VE DONE,09 Sep 2022 16:03:08
CANNONS,BAD DREAM,09 Sep 2022 16:06:35
THE KILLERS,BOY,09 Sep 2022 16:09:46
ATLAS GENIUS,TROJANS,09 Sep 2022 16:13:11
GOTYE (GOH-TEE-AY),SOMEBODY THAT I USED TO KNOW,09 Sep 2022 16:16:42
VANCE JOY,CLARITY,09 Sep 2022 16:20:48
GREEN DAY,WHEN I COME AROUND,09 Sep 2022 16:24:18
BOYWITHUKE,TOXIC,09 Sep 2022 16:31:16
TAKING BACK SUNDAY,CUTE WITHOUT THE E,09 Sep 2022 16:34:03
RED HOT CHILLI PEPPERS,BLACK SUMMER,09 Sep 2022 16:37:37
VIOLENT FEMMES,BLISTER IN THE SUN,09 Sep 2022 16:41:28
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 16:43:54
KALEO,WAY DOWN WE GO,09 Sep 2022 16:47:50
BLACK KEYS,WILD CHILD,09 Sep 2022 16:55:41
WEEZER,BEVERLY HILLS,09 Sep 2022 16:58:26
NEON TREES,EVERYBODY TALKS,09 Sep 2022 17:01:46
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 17:04:49
BAKAR,FIRST TIME,09 Sep 2022 17:07:37
IMAGINE DRAGONS,FOLLOW YOU,09 Sep 2022 17:10:40
BASTILLE,POMPEII,09 Sep 2022 17:13:32
DIRTY HEADS,LIFE'S BEEN GOOD,09 Sep 2022 17:17:08
FALL OUT BOY,THNKS FR TH MMRS,09 Sep 2022 17:24:27
MONSTERS FEAT. BLACKBEAR,ALL TIME LOW,09 Sep 2022 17:27:53
DEATH CAB  FOR CUTIE,I WILL FOLLOW YOU INTO THE D,09 Sep 2022 17:30:45
MANESKIN,SUPERMODEL,09 Sep 2022 17:33:57
ARTIC MONKEYS,DO I WANNA KNOW,09 Sep 2022 17:36:27
CAFUNE,TEK IT,09 Sep 2022 17:41:00
SUCH GREAT HEIGHTS,SUCH GREAT HEIGHTS,09 Sep 2022 17:48:07
GIRL IN RED,SEROTONIN,09 Sep 2022 17:52:02
THE CURE,LOVE SONG,09 Sep 2022 17:55:07
PANIC AT THE DISCO,THE ONLY DIFFERENCE...,09 Sep 2022 17:58:32
SNOW PATROL,CHASING CARS,09 Sep 2022 18:01:34
KATE BUSH,RUNNING UP THAT HILL,09 Sep 2022 18:05:43
FOO FIGHTERS,MY HERO,09 Sep 2022 18:10:42
CANNONS,FIRE FOR YOU,09 Sep 2022 18:14:47
TWENT-ONE PILOTS,STRESSED OUT,09 Sep 2022 18:18:37
RED HOT CHILI PEPPERS,TIPPA MY TONGUE,09 Sep 2022 18:21:58
ALIEN ANT FARM,SMOOTH CRIMINAL,09 Sep 2022 18:29:57
BILLIE EILISH,THEREFORE I AM,09 Sep 2022 18:33:28
THE 1975,SOMEBODY ELSE,09 Sep 2022 18:36:17
JACK WHITE,WHAT'S THE TRICK,09 Sep 2022 18:40:21
MUSE,MADNESS,09 Sep 2022 18:44:04
VANCE JOY,CLARITY,09 Sep 2022 18:48:51
FALL OUT BOY,"SUGAR, WE'RE GOING DOWN",09 Sep 2022 18:56:19
LUMINEERS,BRIGHTSIDE,09 Sep 2022 18:59:53
FINGER ELEVEN,PARALYZER,09 Sep 2022 19:03:31
THE KILLERS,BOY,09 Sep 2022 19:07:03
PORTUGAL THE MAN,LIVE IN THE MOMENT,09 Sep 2022 19:10:21
WEEZER,A LITTLE BIT OF LOVE,09 Sep 2022 19:13:41
THE BLACK KEYS,LONELY BOY,09 Sep 2022 19:16:29
DEATH CAB FOR CUTIE,HERE TO FOREVER,09 Sep 2022 19:19:48
MODEST MOUSE,FLOAT ON,09 Sep 2022 19:27:55
MANESKIN,BEGGIN,09 Sep 2022 19:31:25
OF MONSTERS AND MEN,MOUNTAIN SOUND,09 Sep 2022 19:34:54
IMAGINE DRAGONS,ENEMY,09 Sep 2022 19:38:22
GROUPLOVE,TONGUE TIED,09 Sep 2022 19:41:18
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 19:44:56
ALL AMERICAN REJECTS,GIVES YOU HELL,09 Sep 2022 19:53:05
FOO FIGHTERS,LOVE DIES YOUNG,09 Sep 2022 19:56:19
RED HOT CHILI PEPPERS,BY THE WAY,09 Sep 2022 20:00:45
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 20:04:20
SOCIAL DISTORTION,STORY OF MY LIFE,09 Sep 2022 20:07:12
BOB MOSES,LOVE BRAND NEW,09 Sep 2022 20:12:56
PORTUGAL THE MAN,FEEL IT STILL,09 Sep 2022 20:16:15
DIRTY HEADS,LIFE'S BEEN GOOD,09 Sep 2022 20:19:00
EVERLAST,WHAT IT'S LIKE,09 Sep 2022 20:26:23
MACHINE GUN KELLY,BLOODY VALENTINE,09 Sep 2022 20:31:16
OUTKAST,HEY YA,09 Sep 2022 20:34:42
TAME IMPALA,THE LESS I KNOW THE BETTER,09 Sep 2022 20:38:35
MARSHMELLO FEATURING BASTILLE,HAPPIER,09 Sep 2022 20:42:19
IMAGINE DRAGONS,BONES,09 Sep 2022 20:45:55
GREEN DAY,HOLIDAY,09 Sep 2022 20:52:42
BILLIE EILISH,EVERYTHING I WANTED,09 Sep 2022 20:56:35
INCUBUS,WISH YOU WERE HERE,09 Sep 2022 21:00:45
KATE BUSH,RUNNING UP THAT HILL,09 Sep 2022 21:04:19
HEAD AND THE HEART,MISSED CONNECTIONS,09 Sep 2022 21:09:24
GLASS ANIMALS,HEAT WAVES,09 Sep 2022 21:12:39
WALK THE MOON,SHUT UP AND DANCE,09 Sep 2022 21:16:37
CAFUNE,TEK IT,09 Sep 2022 21:19:56
FRANZ FERDINAND,TAKE ME OUT,09 Sep 2022 21:27:48
MACHINE GUN KELLY,MY EX BEST FRIEND,09 Sep 2022 21:31:43
OF MONSTERS AND MEN,LITTLE TALKS,09 Sep 2022 21:34:05
RED HOT CHILLI PEPPERS,BLACK SUMMER,09 Sep 2022 21:38:11
FUN.,WE ARE YOUNG,09 Sep 2022 21:42:10
VANCE JOY,CLARITY,09 Sep 2022 21:46:02
FALL OUT BOY,DANCE DANCE,09 Sep 2022 21:53:52
COLDPLAY,MY UNIVERSE,09 Sep 2022 21:56:51
THE CURE,FRIDAY I'M IN LOVE,09 Sep 2022 22:00:02
FITZ AND THE TANTRUMS,HANDCLAP,09 Sep 2022 22:03:36
THE KILLERS,BOY,09 Sep 2022 22:06:49
SEMISONIC,CLOSING TIME,09 Sep 2022 22:10:09
LUMINEERS,WHERE WE ARE,09 Sep 2022 22:15:04
THE BLACK KEYS,TIGHTEN UP,09 Sep 2022 22:17:53
DEATH CAB FOR CUTIE,HERE TO FOREVER,09 Sep 2022 22:21:24
KINGS OF LEON,USE SOMEBODY,09 Sep 2022 22:29:42
IMAGINE DRAGONS,FOLLOW YOU,09 Sep 2022 22:33:35
LORDE,ROYALS,09 Sep 2022 22:36:44
MANESKIN,SUPERMODEL,09 Sep 2022 22:39:56
TWENTY-ONE PILOTS,RIDE,09 Sep 2022 22:42:28
PANIC! AT THE DISCO,DON'T LET THE LIGHT GO OUT,09 Sep 2022 22:46:00
LINKIN PARK,NUMB,09 Sep 2022 22:54:39
MONSTERS FEAT. BLACKBEAR,ALL TIME LOW,09 Sep 2022 22:58:06
GIRL IN RED,SEROTONIN,09 Sep 2022 23:01:07
NEON TREES,ANIMAL,09 Sep 2022 23:04:14
